代号,金融机构,类型
001,中央信託,銀行
003,交通銀行,銀行
004,台灣銀行,銀行
005,土地銀行,銀行
006,合庫商銀,銀行
007,第一銀行,銀行
008,華南銀行,銀行
009,彰化銀行,銀行
010,華僑銀行,銀行
011,上海銀行,銀行
012,台北富邦,銀行
013,國泰世華,銀行
016,高雄銀行,銀行
017,兆豐商銀,銀行
018,農業金庫,銀行
021,花旗銀行,銀行
024,運通銀行,銀行
025,首都銀行,銀行
039,荷蘭銀行,銀行
040,中華開發,銀行
050,臺灣企銀,銀行
051,台北商銀,銀行
052,新竹商銀,銀行
053,台中商銀,銀行
054,京城商銀,銀行
056,花蓮企銀,銀行
057,台東企銀,銀行
075,東亞銀行,銀行
081,匯豐銀行,銀行
083,渣打銀行,銀行
087,標旗銀行,銀行
101,台北一信,信合社
102,華泰銀行,銀行
103,臺灣新光商銀,銀行
104,台北五信,信合社
106,台北九信,信合社
108,陽信銀行,銀行
114,基隆一信,信合社
115,基隆二信,信合社
118,板信銀行,銀行
119,淡水一信,信合社
120,淡水信合社,信合社
124,宜蘭信合社,信合社
127,桃園信合社,信合社
130,新竹一信,信合社
132,新竹三信,信合社
139,竹南信合社,信合社
146,台中二信,信合社
147,三信銀行,銀行
151,第七商銀,銀行
158,彰化一信,信合社
161,彰化五信,信合社
162,彰化六信,信合社
163,彰化十信,信合社
165,鹿港信合社,信合社
178,嘉義三信,信合社
179,嘉義四信,信合社
188,台南三信,信合社
203,高雄二信,信合社
204,高雄三信,信合社
215,花蓮一信,信合社
216,花蓮二信,信合社
222,澎湖一信,信合社
223,澎湖二信,信合社
224,金門信合社,信合社
512,雲林漁會,漁會
515,嘉義漁會,漁會
517,南市區漁會,漁會
518,南縣漁會,漁會
521,永安漁會,漁會
521,興達港漁會,漁會
521,林園區漁會,漁會
521,彌陀漁會,漁會
523,東港漁會,漁會
523,琉球區漁會,漁會
523,林邊區漁會,漁會
524,新港漁會,漁會
525,澎湖區漁會,漁會
605,高雄市農會,農會
613,名間農會,農會
614,永靖農會,農會
614,二林農會,農會
614,員林農會,農會
614,竹塘農會,農會
614,秀水農會,農會
614,埔心農會,農會
614,埤頭鄉農會,農會
616,崙背鄉農會,農會
616,四湖農會,農會
616,口湖農會,農會
616,斗六農會,農會
616,台西農會,農會
616,大埤農會,農會
616,莿桐農會,農會
616,西螺農會,農會
616,古坑農會,農會
616,二崙農會,農會
616,褒忠農會,農會
616,虎尾農會,農會
616,斗南農會,農會
617,六腳農會,農會
617,水上鄉農會,農會
617,布袋鎮農會,農會
617,梅山農會,農會
617,朴子農會,農會
617,民雄農會,農會
617,東石農會,農會
617,嘉義農會,農會
617,太保農會,農會
617,溪口農會,農會
617,新港農會,農會
617,番路農會,農會
617,鹿草農會,農會
617,竹崎農會,農會
617,大林農會,農會
617,義竹農會,農會
617,大埔農會,農會
618,善化鎮農會,農會
618,佳里鎮農會,農會
618,新營農會,農會
618,歸仁農會,農會
618,西港農會,農會
618,永康農會,農會
618,將軍農會,農會
618,六甲農會,農會
618,北門農會,農會
618,鹽水農會,農會
618,玉井農會,農會
619,鳳山市農會,農會
619,梓官農會,農會
619,永安農會,農會
619,杉林農會,農會
619,阿蓮農會,農會
619,林園農會,農會
619,湖內農會,農會
619,旗山農會,農會
619,仁武農會,農會
619,大寮農會,農會
619,路竹農會,農會
619,岡山農會,農會
619,大社農會,農會
619,橋頭農會,農會
619,彌陀農會,農會
619,茄萣農會,農會
619,田寮農會,農會
619,燕巢農會,農會
619,甲仙農會,農會
619,美濃農會,農會
619,鳥松農會,農會
620,新埤農會,農會
620,里港鄉農會,農會
620,麟洛農會,農會
620,恒春農會,農會
620,枋山農會,農會
620,南州農會,農會
620,琉球農會,農會
620,滿州農會,農會
620,東港鎮農會,農會
620,崁頂鄉農會,農會
620,九如鄉農會,農會
621,富里鄉農會,農會
621,壽豐農會,農會
621,吉安農會,農會
621,新秀農會,農會
622,太麻里農會,農會
622,台東農會,農會
622,關山農會,農會
622,鹿野農會,農會
622,東河農會,農會
622,成功農會,農會
622,池上農會,農會
622,長濱農會,農會
624,澎湖農會,農會
625,台中市農會,農會
627,連江縣農會,農會
700,中華郵政,郵局
803,聯邦銀行,銀行
804,中華銀行,銀行
805,遠東銀行,銀行
806,復華銀行,銀行
807,建華銀行,銀行
808,玉山銀行,銀行
809,萬泰銀行,銀行
810,寶華銀行,銀行
812,台新銀行,銀行
814,大眾銀行,銀行
815,日盛銀行,銀行
816,安泰銀行,銀行
822,中國信託,銀行
825,慶豐銀行,銀行
